,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Kliniknavn,Hjemmeside,tilknyttede læger,tlf,mail/skriftlig kontakt,link til priser,Udelukkende BUP/evt. også BUP/kun voksne/uklart,afdelinger,Postnr,By,Adresse på hver afdeling,Hvorvidt de IKKE tager imod egenbetalere,Noget du evt. vil fremhæve
,ADD Klinikken,https://www.addklinikken.dk,Julie Damgaard Sandahl; Ulla Britt Pedersen,30 23 95 99,info@addklinikken.dk,https://www.addklinikken.dk/priser,udelukkende BUP,1,8260,Viby J,"Gunnar Clausens Vej 40A, 1. tv, 8260 Viby J",nej,Gratis gruppepsykoedukation tilbydes til privatbetalende forældre som del af udredningen.
,ADHD Danmark,https://adhddanmark.dk,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,Foreningen ser ikke ud til at være en privat psykiatrisk klinik.
,ADHD Klinik København,https://www.adhdklinik.com/udredning,manuel kontrol,uklart,uklart,uklart,manuel kontrol,uklart,uklart,uklart,uklart,uklart,Mulig dublet/underside af Alethia.
,ADHD Specialisterne,https://adhdspecialisterne.dk/,manuel kontrol,uklart,uklart,uklart,manuel kontrol,uklart,uklart,uklart,uklart,uklart,Kræver manuel kontrol for at bekræfte egentlig psykiatertilknytning.
,Aleris – Psykiatri og Børnepsykiatri,https://www.aleris-pp.dk/psykiater.aspx,uklart,36 37 28 00,Book tid i klinikken / kundeservice,https://www.aleris-pp.dk/priser/priser-for-voksne.aspx,også BUP,8,9000; 8230; 6700; 7400; 4400; 2820; 5000; 4100; 7100,Aalborg C; Åbyhøj; Esbjerg; Herning; Kalundborg; Gentofte; Odense; Ringsted; Vejle,"Kayerødsgade 35, 9000 Aalborg C; Klamsagervej 35A, 8230 Åbyhøj; Bavnehøjvej 6, 1. sal, 6700 Esbjerg; Poulsgade 8, 2., 7400 Herning; Elmegade 15B, 1., 4400 Kalundborg; Ørnegårdsvej 16, 1., 2820 Gentofte; J. B. Winsløws Vej 17B, 5000 Odense; Haslevvej 13, indgang A og B, 4100 Ringsted; Hjulmagervej 8B, 1., 7100 Vejle",nej,Har både voksen- og børne/ungepriser og modtager patienter uden henvisning.
,Alethia – Psykiater,https://www.alethia.dk/da/psykiater,Rasmus Wæhrens; Martin Bergholtz,42 62 00 51,Kontaktformular,https://www.alethia.dk/da/priser,kun voksne,1,1171,København K,"Fiolstræde 14, 1. sal, 1171 København K",nej,"Tilbyder udredning og terapi på dansk, engelsk, norsk og svensk."
,ALM Psykiatri,https://almpsykiatri.dk,uklart,(+46) 760 37 83 41,info@almpsykiatri.dk,uklart,uklart,1,211 19,Malmö,"Nordenskiöldsgatan 11a, 211 19 Malmö, Sverige",nej,Tilbyder forløb i Sverige til danske patienter med mulighed for regional refusion.
,Artena,https://www.artena.dk/,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation fundet i denne gennemgang.
,ATLAS Psykiatrisk Klinik,https://atlasklinik.dk/,Jeppe Plesner; Tahmineh Hassanzadeh,70 70 71 41,atlas@atlasklinik.dk,uklart,også BUP,2,2300; 8000,København Ø; Aarhus,"Østerfælled Torv 10, 1. sal, 2300 København Ø; Åboulevarden 31, 3., 8000 Aarhus",uklart,"Klinikken behandler børn, unge og voksne i både København og Aarhus."
,Aura Psykiatri,https://aurapsykiatri.dk,Fredrik; Nina; Jakob; Idris,32 33 00 25,info@aurapsykiatri.dk; kontaktformular,https://aurapsykiatri.dk/priser/,også BUP,1,8240,Risskov,"Arresøvej 6, 8240 Risskov",nej,"Konsultationer foregår primært online, men klinikken har base i Risskov."
,Behandlingscentret Den Lille Prins,https://denlilleprins.org/da/,manuel kontrol,uklart,uklart,uklart,manuel kontrol,uklart,uklart,uklart,uklart,uklart,Kræver manuel kontrol for at afgrænse psykiatrisk klinikdel.
,Benedikte Brorholt,https://benedikte-brorholt.dk,Benedikte Brorholt,20 80 21 86,benedikte-brorholt@proton.me,https://benedikte-brorholt.dk/uden-henvisning/,uklart,1,8000,Aarhus C,"Morten Børups Gade 10, 2. sal, 8000 Aarhus C",nej,Tilbyder udredning og behandling uden henvisning.
,Bjarne Børsen Nielsen – børnepsykiater,https://bbnielsen-boernepsykiater.dk/,Bjarne Børsen Nielsen,uklart,uklart,uklart,udelukkende BUP,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Børne- og Ungdomspsykiatrisk Privat Klinik v. Kristine Søbye,https://www.krak.dk/b%C3%B8rne%2Bog%2Bungdomspsykiatrisk/firmaer,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,udelukkende BUP,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,Listen peger på en katalogside og ikke en verificeret klinikhjemmeside.
,Børne- & Ungdomspsykiatrisk Klinik Himmerland,https://klinik-himmerland.dk/,uklart,uklart,uklart,uklart,udelukkende BUP,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Carelink Psykiatri,https://carelinkpsykiatri.dk,uklart,27 85 93 39,sikker mail; patientportal; kontaktformular,https://carelinkpsykiatri.dk/priser-voksne; https://carelinkpsykiatri.dk/priser-boern-og-unge,også BUP,4,8800; 6000; 4000; 1604,Viborg; Kolding; Roskilde; København V,"Holstebrovej 2, 8800 Viborg; Essen 27D, 6000 Kolding; Ringstedvej 22, 4000 Roskilde; Kampmannsgade 1, 5. sal, 1604 København V",nej,Har klinikker i flere byer og oplyser mulighed for refusion samt onlinekonsultationer.
